Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property ID,Property Age,Property Type,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD)
F,52,1975.09,Low,Working,Laborers,Rural,42633.06,334.76,Y,N,2,,1,Active,851,1975.09,3,Rural,1,76913.81,29843.14
M,43,,Low,Working,Medicine staff,Semi-Urban,111859.48,375.05,N,Y,2,,0,Active,247,,2,Rural,0,138245.84,0
F,61,,High,Pensioner,,Semi-Urban,17088.69,134.2,N,N,2,860.26,1,Inactive,187,,4,Urban,1,23299.83,11962.08
M,18,2551.39,Low,Commercial associate,Private service staff,Semi-Urban,160699.41,598.65,N,Y,2,745.2,0,Inactive,391,2551.39,3,Rural,1,250405.77,0
F,30,,Low,Working,Laborers,Semi-Urban,40847.55,193.08,N,Y,2,736.56,0,Unpossessed,697,,1,Semi-Urban,1,61604.56,28593.28
M,31,2063.65,Low,Working,Accountants,Semi-Urban,141032.4,555.07,N,N,5,733.34,0,Inactive,904,2063.65,1,Rural,0,235566.14,0
F,29,2792.03,Low,Working,Accountants,Urban,30649.74,336.35,Y,N,3,794.48,0,Unpossessed,418,2792.03,1,Rural,1,51303.46,24519.79
M,32,1474.85,Low,Working,Security staff,Semi-Urban,112062.73,387.95,N,N,3,629.05,0,,551,1474.85,1,Semi-Urban,1,208133.81,0
F,34,1734.24,Low,State servant,Laborers,Semi-Urban,48537.41,254.59,N,Y,3,852.26,0,Unpossessed,843,1734.24,2,Urban,1,88328.74,36403.06
F,59,2262.99,Low,Working,Low-skill Laborers,Semi-Urban,26556.36,194.59,N,Y,4,734.37,0,Active,945,2262.99,4,Rural,1,49310.56,18589.45
M,36,1583.88,Low,Working,Core staff,Semi-Urban,97067.68,459.37,N,Y,2,655.9,0,,608,1583.88,2,Rural,1,158545.34,0
F,65,988.19,High,Pensioner,,Semi-Urban,45593.04,171.95,N,Y,1,833.15,0,Unpossessed,546,988.19,2,Urban,0,72440.58,36474.43
M,52,,Low,Working,Sales staff,Semi-Urban,25085.26,194.11,Y,N,3,805.77,0,Unpossessed,280,,1,Rural,1,46529.8,18813.94
M,22,3532.9,Low,Working,Waiters/barmen staff,Semi-Urban,107434,553.88,N,Y,4,642.16,0,Inactive,528,3532.9,3,Urban,1,119507.07,0
F,21,4532.51,Low,State servant,Managers,Semi-Urban,207304.92,762.79,N,N,1,713.52,0,Inactive,496,4532.51,1,Rural,1,239172.41,0
M,39,1213.81,Low,Working,Laborers,Semi-Urban,42836.85,185.78,Y,Y,2,684.88,0,Active,67,1213.81,2,Rural,0,53396.71,0
M,56,,Low,Working,Laborers,Semi-Urban,68471.44,341.48,N,Y,2,795.53,0,Inactive,831,,1,Rural,1,83782,47930.01
F,34,,Low,Commercial associate,Laborers,Semi-Urban,96105.44,349.81,N,Y,3,,0,Unpossessed,767,,1,Rural,1,166103.55,62468.54
F,29,2970.86,Low,Working,Drivers,Semi-Urban,107790.85,443.17,Y,N,2,765.47,0,Active,891,2970.86,3,Semi-Urban,1,171733.94,0
F,53,1566.45,Low,Working,Accountants,Rural,219671.26,939.98,Y,Y,3,814.46,0,Unpossessed,911,,3,Semi-Urban,1,248309.73,153769.88
F,18,4037.32,Low,Commercial associate,,Semi-Urban,83544.67,335.38,N,N,,694.84,0,Inactive,261,4037.32,3,Rural,1,149558.29,54304.04
M,58,3516.81,Low,Commercial associate,Laborers,Semi-Urban,93507.43,461.53,Y,Y,2,744.74,0,Inactive,340,3516.81,4,Semi-Urban,1,150873.44,65455.2
F,59,,Low,Working,Laborers,Rural,14808.88,148.38,N,Y,2,671.36,1,Inactive,824,,1,Urban,1,20229.68,9625.77
F,60,1274.17,Low,Working,Managers,Semi-Urban,60542.47,307.52,Y,N,,695.45,0,,426,1274.17,1,Urban,1,105505.45,-999
M,23,2115.4,Low,Working,,Rural,73424.83,280.92,Y,Y,4,700.59,0,Unpossessed,276,2115.4,4,Rural,1,95159.02,51397.38
F,25,3831.05,Low,Commercial associate,Core staff,Semi-Urban,56048.05,358.73,Y,Y,3,,1,Active,906,3831.05,2,Urban,0,84902.22,0
F,18,2404.76,Low,Working,Laborers,Urban,135875.44,424.19,N,Y,1,720.54,0,Unpossessed,814,2404.76,2,Rural,1,163942.9,95112.81
M,35,2484.33,Low,Working,Sales staff,Semi-Urban,93593.87,272.68,Y,N,2,665.14,0,Active,576,2484.33,3,Rural,1,-999,65515.71
M,50,2558.91,,Commercial associate,Sales staff,Semi-Urban,85013.85,592.38,N,Y,4,685.88,0,Inactive,98,2558.91,3,Urban,1,104032.17,59509.7
M,64,1959.72,Low,Working,Private service staff,Semi-Urban,62073.86,327.82,Y,Y,1,753.49,0,Unpossessed,606,1959.72,3,Urban,1,110818.56,46555.4
F,57,4064.32,Low,Working,Sales staff,Semi-Urban,73424.62,372.47,N,Y,3,638.97,0,Inactive,971,4064.32,1,Semi-Urban,1,109089.83,0
M,21,2671.43,Low,Working,Cleaning staff,Semi-Urban,154294.47,484.26,N,Y,2,762,0,Unpossessed,352,2671.43,1,Rural,1,183084,123435.58
F,18,3028.46,Low,Commercial associate,Drivers,Semi-Urban,27870.11,294.23,Y,N,2,804.24,1,Unpossessed,11,3028.46,3,Semi-Urban,1,42215.47,22296.09
F,40,2300.17,Low,State servant,Core staff,Urban,181404.49,498.44,N,N,2,856.83,1,Unpossessed,900,2300.17,1,Semi-Urban,1,-999,126983.14
F,21,4024.57,Low,Commercial associate,Sales staff,Urban,93584.2,474.7,N,Y,2,753.96,0,Active,648,4024.57,3,Semi-Urban,1,142485.81,65508.94
M,49,2195.6,Low,Working,Laborers,Semi-Urban,77486.07,435.76,N,Y,2,641.75,0,Unpossessed,533,2195.6,1,Rural,1,95311.62,0
M,46,1928.82,Low,Working,,Semi-Urban,121479.12,368.48,N,N,,689.3,0,Inactive,284,1928.82,3,Semi-Urban,1,135826.65,78961.43
F,18,3137.67,Low,Working,Private service staff,Semi-Urban,22281.04,246.08,N,Y,2,816.33,0,Unpossessed,56,3137.67,1,Urban,-999,32812.22,16710.78
F,56,,Low,Commercial associate,,Semi-Urban,37238.77,185.01,N,Y,3,676.88,0,Inactive,450,,3,Semi-Urban,1,47169.34,26067.14
M,50,2869.92,Low,Working,,Semi-Urban,37740.72,200.63,Y,Y,2,625.26,0,Inactive,456,2869.92,3,Rural,0,44271.89,0
F,62,3463.52,Low,Working,Sales staff,Semi-Urban,34818.33,138.96,Y,N,2,792.88,0,Unpossessed,206,3463.52,4,Semi-Urban,1,39657.33,27854.66
F,29,3074.91,Low,Working,Laborers,Semi-Urban,109046.22,579.68,Y,Y,3,678.6,0,Active,790,3074.91,3,Rural,1,159115.35,70880.04
M,18,1536.6,Low,Working,Cleaning staff,Rural,76722.7,325.1,N,Y,2,797.68,0,Active,868,1536.6,1,Rural,1,140818.2,57542.02
F,62,3105.93,Low,Commercial associate,Accountants,Urban,69826.11,584.04,Y,Y,3,777.21,0,Inactive,100,3105.93,2,Semi-Urban,1,86850.89,52369.58
M,18,1439.91,Low,Commercial associate,,Semi-Urban,97135.74,363.19,N,Y,1,735.85,1,Inactive,655,1439.91,2,Urban,1,165355.17,0
F,34,3130.91,Low,State servant,Medicine staff,Semi-Urban,36812.71,425.14,N,Y,2,802.38,0,Inactive,433,3130.91,4,Urban,0,65464.29,0
F,30,1910.36,Low,State servant,Drivers,Semi-Urban,40108.96,297.67,Y,Y,2,779.64,0,Inactive,463,1910.36,1,Urban,1,61932.07,28076.27
,18,,Low,Working,Sales staff,Semi-Urban,108606.43,460.91,N,Y,2,721.82,0,Active,408,,1,Urban,1,134510.54,-999
M,43,2532.51,Low,Working,,Rural,6189.5,34.04,N,Y,4,728.51,0,Inactive,429,2532.51,1,Semi-Urban,1,8406.79,4023.18
M,18,3503.27,Low,Working,,Semi-Urban,136120.57,461.06,Y,Y,3,745.2,0,Inactive,109,3503.27,4,Urban,1,206365.23,88478.37
F,57,2146.4,Low,Working,Managers,Semi-Urban,163217.99,560.29,Y,Y,2,808.08,0,Active,43,2146.4,3,Semi-Urban,1,214879.46,130574.39
M,18,1327.17,Low,State servant,,Semi-Urban,74365.21,342.07,N,Y,4,712.5,1,Unpossessed,570,1327.17,1,Urban,1,114975.19,48337.39
M,18,1980.89,Low,Working,Laborers,Semi-Urban,140641.55,406.21,Y,N,2,674.37,1,Active,401,1980.89,1,Urban,1,197775.43,0
F,37,1056.6,Low,Working,Laborers,Rural,39454.18,265.93,N,Y,2,671.46,0,Active,410,1056.6,2,Semi-Urban,1,60703.46,27617.93
F,39,3819.81,Low,Commercial associate,,Urban,193038.95,628.73,N,Y,3,665.07,0,Inactive,228,3819.81,2,Semi-Urban,0,248010.69,0
M,24,3640.53,Low,Working,Managers,Semi-Urban,143733.91,784.91,N,Y,3,696.28,0,Active,636,3640.53,1,Urban,1,204932.89,100613.74
F,60,3159.14,Low,Working,Laborers,Rural,48022.78,225.51,N,N,2,619.29,1,Unpossessed,104,3159.14,4,Urban,1,56207.09,0
F,27,1528.36,Low,Commercial associate,,Rural,144044.86,419.25,N,Y,4,,0,Unpossessed,69,1528.36,2,Rural,1,188390.25,93629.16
F,35,3373.15,Low,Working,Managers,Semi-Urban,67080.54,309.35,N,Y,3,644.46,0,Unpossessed,78,3373.15,1,Urban,1,99869.43,0
M,64,3494.1,,Commercial associate,,Semi-Urban,247601.5,620.97,N,Y,2,764.43,0,Active,368,3494.1,4,Semi-Urban,1,344265.05,173321.05
M,18,,Low,Commercial associate,High skill tech staff,Urban,39894.92,173.72,N,Y,2,625.97,0,Unpossessed,546,,2,Urban,1,48023.06,0
M,34,,Low,State servant,Core staff,Urban,215254.43,744.67,Y,Y,2,747.03,0,Active,242,,4,Semi-Urban,1,404171.86,139915.38
F,54,5202.99,,Working,Drivers,Semi-Urban,81686.68,468.49,Y,Y,2,623.92,0,Inactive,599,5202.99,1,Rural,0,138054.95,-999
F,55,1974.99,Low,Working,Laborers,Semi-Urban,47464.77,368.4,N,Y,2,753.82,0,Active,601,1974.99,3,Urban,1,75207.46,35598.58
M,18,4526.45,Low,Commercial associate,,Urban,96081.01,275.32,N,N,,777.7,1,,331,4526.45,2,Urban,1,160854.53,76864.81
M,57,1678.77,,Working,Laborers,Semi-Urban,55372.69,384.29,N,N,1,653.94,0,,545,1678.77,2,Rural,1,64605.13,38760.88
M,61,2406.71,Low,State servant,,Semi-Urban,102007.35,574.3,N,Y,2,686.08,0,Unpossessed,694,2406.71,1,Semi-Urban,1,152065.03,-999
M,18,3539.92,Low,Commercial associate,Security staff,Urban,228153.37,668.89,N,N,3,637.04,0,Active,907,3539.92,1,Rural,1,396663.71,0
F,23,5380.66,Low,State servant,Core staff,Semi-Urban,259881.25,733.96,Y,Y,2,850.07,0,Inactive,667,5380.66,1,Urban,1,484400.25,194910.94
M,32,1611.32,Low,Commercial associate,High skill tech staff,Semi-Urban,53582.53,285.13,Y,Y,2,773.32,0,Unpossessed,640,1611.32,1,Rural,1,98029.05,42866.02
M,55,1763.69,,Working,Sales staff,Semi-Urban,36332.68,245.78,Y,Y,,825.3,0,Unpossessed,723,1763.69,2,Rural,1,60453.94,27249.51
F,47,1583.98,Low,Working,Laborers,Semi-Urban,76666.73,381.96,Y,Y,1,620.57,0,Inactive,35,1583.98,3,Urban,1,95268.41,0
F,18,,Low,State servant,Laborers,Rural,99535.27,860.38,N,N,,805.82,0,Active,150,,3,Semi-Urban,1,126462.42,79628.22
M,65,,High,Pensioner,,Semi-Urban,83679.37,245.08,Y,Y,2,876.13,1,Unpossessed,137,,1,Semi-Urban,1,109538.91,-999
F,44,,Low,Working,,Semi-Urban,34781.79,163.63,Y,N,3,641.95,0,Inactive,326,,3,Urban,1,49911.86,0
F,20,5819.07,Low,Working,Managers,Semi-Urban,213805.71,604.19,Y,Y,4,692.52,0,Unpossessed,235,5819.07,3,Rural,1,258950.23,149664
M,56,6904.13,Low,State servant,Managers,Rural,289514.48,855.89,Y,Y,2,849.05,0,Active,766,6904.13,3,Semi-Urban,0,456746.63,0
F,63,2068.01,Low,Working,Drivers,Semi-Urban,92888.26,487.7,Y,N,2,626.54,0,Active,460,2068.01,4,Rural,1,102190.19,0
F,36,1961.14,Low,Working,Laborers,Semi-Urban,110539.72,371.91,N,Y,2,732.65,1,Active,130,1961.14,3,Urban,1,171629.72,71850.82
M,58,1623.4,Low,Commercial associate,Drivers,Rural,64682.62,553.6,Y,Y,2,631.41,1,Active,320,1623.4,3,Urban,1,103837.61,0
F,48,2667.31,Low,Commercial associate,Sales staff,Rural,69614.87,313.03,N,Y,,737.78,0,Active,198,2667.31,3,Rural,1,119043.89,48730.41
M,65,764.92,High,Pensioner,,Semi-Urban,22532.59,108.17,N,Y,1,756.56,0,Unpossessed,593,764.92,4,Semi-Urban,0,37844.43,0
M,23,1571.51,Low,Working,Medicine staff,Rural,85757.65,474.69,N,Y,1,803.15,1,Unpossessed,152,1571.51,3,Semi-Urban,1,123974.76,60030.35
F,46,3521.79,Low,State servant,Managers,Urban,249252.23,712.89,Y,Y,2,770.57,1,Active,860,3521.79,3,Rural,1,392902.88,174476.56
F,50,4154.84,Low,State servant,Core staff,Semi-Urban,151580.98,490.45,N,Y,2,683.89,0,Unpossessed,387,4154.84,1,Urban,-999,222813.63,106106.69
M,38,1855.07,,Working,Core staff,Semi-Urban,76565.87,397.92,N,Y,,774.83,0,Unpossessed,481,1855.07,2,Rural,1,85155.85,57424.4
F,59,2370.04,Low,Working,High skill tech staff,Semi-Urban,75101.43,378.85,N,Y,3,791.02,0,Unpossessed,801,2370.04,2,Rural,1,105483.96,52571
F,18,1748.54,,Working,,Semi-Urban,91459.05,455.01,N,Y,2,841.32,0,Inactive,359,1748.54,3,Rural,1,130061.52,64021.34
M,52,1699.06,Low,Working,Sales staff,Semi-Urban,80148.42,394.31,N,N,1,786.37,1,Inactive,376,1699.06,4,Semi-Urban,1,143140.89,60111.32
M,31,,Low,Working,Laborers,Urban,238986.11,741.61,Y,N,4,616.97,0,,660,,4,Semi-Urban,1,443523.71,0
F,20,3128.12,Low,Working,Security staff,Semi-Urban,135973.48,385.83,N,Y,3,817.13,0,Inactive,207,3128.12,4,Semi-Urban,1,251380.36,95181.44
F,61,1126.61,Low,Working,High skill tech staff,Semi-Urban,33952.62,371.99,N,N,1,727.14,0,Inactive,976,1126.61,4,Rural,1,37763.18,0
M,26,2161.8,Low,Commercial associate,Accountants,Urban,103269.81,453.64,Y,N,2,827.19,0,Unpossessed,353,2161.8,4,Urban,1,167052.7,82615.85
M,61,3705.62,Low,Commercial associate,,Semi-Urban,43979.64,228.39,N,Y,2,697.78,0,Inactive,155,3705.62,4,Semi-Urban,-999,50269.41,30785.75
M,64,1577.97,High,Pensioner,,Rural,40581.23,206.65,N,N,1,742.79,0,Inactive,279,1577.97,4,Semi-Urban,0,66321.97,28406.86
F,48,2636.9,Low,Working,Managers,Semi-Urban,113278.25,384.17,N,Y,,774.86,0,Inactive,321,2636.9,2,Rural,1,164235.68,79294.77
F,62,2328.45,Low,Commercial associate,,Urban,97579.64,561.32,N,Y,2,794.18,0,Active,573,2328.45,3,Rural,0,183521.73,0
M,48,1876.96,Low,Working,Laborers,Rural,69151.57,732.23,Y,Y,5,712.18,0,Inactive,66,1876.96,3,Rural,1,112113.13,44948.52
M,52,2747.58,Low,Commercial associate,,Semi-Urban,50338.84,242.5,N,Y,1,776.84,0,Unpossessed,595,2747.58,1,Semi-Urban,1,92530.66,40271.07
F,19,851.97,Low,Working,Sales staff,Semi-Urban,19287.58,143.39,N,Y,3,799.09,0,Active,503,851.97,3,Rural,1,31983.63,0
F,28,2474.33,Low,Working,Laborers,Semi-Urban,17503,144.82,N,Y,3,855.97,1,Unpossessed,147,2474.33,2,Rural,1,32580.57,14002.4
F,65,3826.07,High,Pensioner,,Rural,102273.38,432.14,N,Y,3,717.43,0,Active,786,3826.07,1,Rural,0,120715.52,71591.37
M,43,1210.6,Low,Commercial associate,Sales staff,Semi-Urban,39224.15,194.21,N,Y,4,769.06,0,Unpossessed,598,1210.6,2,Semi-Urban,1,52910.32,31379.32
M,59,1988.86,Low,Working,Security staff,Semi-Urban,12903.09,165.51,Y,Y,1,702.35,0,Active,32,1988.86,1,Rural,1,20800.96,9032.16
M,18,1896.96,Low,Working,,Semi-Urban,36841.91,403.38,N,N,2,674.1,0,Inactive,50,1896.96,1,Rural,1,46495.46,25789.34
M,39,2202.9,Low,Working,,Semi-Urban,177716.34,540.63,Y,Y,3,770.33,0,Inactive,423,2202.9,3,Urban,0,211684.66,0
M,19,1864.22,Low,Working,Laborers,Semi-Urban,28186.08,270.77,N,N,2,660.99,0,Active,701,1864.22,1,Rural,1,50923.56,19730.26
F,26,2223.61,Low,Working,Laborers,Semi-Urban,107496.59,447.44,N,Y,2,796.7,1,Inactive,381,2223.61,4,Semi-Urban,1,156918.42,85997.27
F,52,1409.75,Low,Working,,Semi-Urban,8797.29,98.06,Y,Y,3,692.99,1,Inactive,557,1409.75,2,Semi-Urban,1,14294.5,6158.1
F,20,2158.58,Low,State servant,High skill tech staff,Semi-Urban,16729.4,114.47,N,Y,1,831.11,1,Inactive,63,2158.58,1,Semi-Urban,1,31428.8,11710.58
F,62,2911.92,Low,Commercial associate,Core staff,Rural,135847.21,512.2,N,Y,2,637.88,0,Unpossessed,816,2911.92,3,Semi-Urban,1,179410.46,0
F,51,1684.26,Low,Working,Core staff,Rural,178048.6,489.53,N,Y,3,668.69,0,Unpossessed,937,1684.26,4,Semi-Urban,1,196944.23,0
F,63,,Low,Commercial associate,High skill tech staff,Urban,84915.68,279.32,N,N,1,784.26,0,Active,616,,1,Semi-Urban,1,-999,63686.76
M,21,1995.33,Low,Working,Sales staff,Semi-Urban,156820.59,461.18,Y,Y,2,695.22,0,Inactive,70,1995.33,4,Rural,1,216857.03,0
F,24,2147.07,Low,Working,Core staff,Semi-Urban,24454.39,118.23,Y,Y,1,708.49,0,Unpossessed,680,2147.07,1,Semi-Urban,1,36113.24,15895.35
M,54,2811.94,Low,Commercial associate,Sales staff,Semi-Urban,126335.27,382.41,Y,N,1,638.22,0,Unpossessed,930,2811.94,3,Semi-Urban,1,172147.26,0
F,53,2196.58,Low,Working,Laborers,Rural,39155.53,309.99,N,Y,1,689.85,0,Active,926,,2,Urban,1,54419.18,27408.87
F,33,,Low,Working,,Rural,26213.38,125.71,N,Y,2,830.3,0,Inactive,707,,3,Semi-Urban,1,49600.46,20970.7
F,65,2845.74,High,Pensioner,,Urban,55846.69,296.88,Y,Y,2,856.59,0,Unpossessed,826,2845.74,4,Semi-Urban,1,80420.33,50262.02
F,18,2411.42,Low,Working,Sales staff,Semi-Urban,63942.7,326.42,N,N,2,720.45,0,Inactive,128,2411.42,1,Rural,1,109589.06,44759.89
M,61,1823.74,Low,Working,Medicine staff,Semi-Urban,137705.41,399.62,N,Y,3,720.12,0,Inactive,137,1823.74,1,Semi-Urban,1,189292.87,96393.79
M,37,,Low,Working,Laborers,Semi-Urban,44246.65,239.11,N,N,3,596.47,0,Unpossessed,66,,3,Rural,1,64180.43,0
M,40,2160.47,Low,Commercial associate,Laborers,Semi-Urban,41549.26,265.01,Y,Y,4,630.58,1,Unpossessed,891,2160.47,3,Semi-Urban,1,54131.34,0
F,22,2399.92,Low,State servant,Core staff,Urban,81342.84,416.82,Y,Y,2,733.18,0,,478,2399.92,1,Rural,1,128131.99,56939.99
M,18,1586.4,Low,State servant,,Semi-Urban,64711,273.93,N,Y,2,759.57,1,Unpossessed,431,1586.4,4,Semi-Urban,1,86540.43,0
F,18,3143.48,Low,Working,Laborers,Rural,68284.28,308,Y,N,,674.51,1,Active,217,3143.48,2,Rural,1,103003.78,47799
M,50,3395.41,Low,Working,Laborers,Rural,46279.01,239.17,N,Y,1,859.47,0,Unpossessed,897,3395.41,1,Semi-Urban,1,75654.26,37023.21
M,46,3091.05,Low,State servant,Core staff,Rural,88027.33,429.25,Y,N,4,617.87,0,Active,879,3091.05,1,Urban,1,156399.75,0
M,53,2027.99,Low,Working,Sales staff,Semi-Urban,22495.2,196.45,N,N,2,658.48,1,Active,651,2027.99,1,Semi-Urban,1,31346.36,15746.64
M,59,,,Working,Accountants,Semi-Urban,13450.16,148.89,N,Y,1,820.59,1,Unpossessed,669,,4,Rural,1,17953.25,10087.62
M,53,,Low,Commercial associate,Sales staff,Rural,60252.04,320.2,N,N,2,702.68,1,,442,,2,Rural,1,72787.36,39163.83
F,44,5261.65,Low,State servant,Core staff,Rural,226411.78,645.16,N,N,5,787.01,1,Inactive,697,5261.65,1,Semi-Urban,1,261779.45,158488.25
M,33,2064.9,Low,Working,Sales staff,Semi-Urban,11048.62,109.93,N,Y,2,652.81,0,Active,537,2064.9,2,Urban,1,12559.17,7734.03
M,18,2034.14,Low,Working,Secretaries,Semi-Urban,127281.09,686.68,N,Y,3,779.71,1,Unpossessed,43,2034.14,3,Semi-Urban,1,151843.86,89096.76
F,22,1903.12,Low,Working,Cooking staff,Semi-Urban,66041.89,259.85,N,Y,3,800.69,0,Inactive,310,1903.12,4,Rural,1,103468.63,46229.32
F,55,3065.86,Low,Working,Core staff,Semi-Urban,235537.77,647.84,N,N,3,752.57,0,,183,3065.86,4,Urban,1,388202.46,164876.44
M,63,3518.04,Low,Commercial associate,High skill tech staff,Semi-Urban,240969.41,741.26,Y,Y,4,823.62,1,Active,401,3518.04,1,Urban,1,344997.22,168678.59
M,30,,Low,Working,Laborers,Rural,27362.51,137.11,Y,Y,1,813.12,0,Inactive,93,,2,Semi-Urban,1,39408.78,21890.01
F,43,1286.9,Low,State servant,Laborers,Semi-Urban,101122.22,405.82,N,N,4,704.73,1,Active,196,1286.9,2,Rural,1,159615.7,65729.44
M,58,3344.12,,Commercial associate,,Urban,156379.04,637.27,N,Y,2,756.48,0,Inactive,438,3344.12,2,Semi-Urban,1,215679.17,125103.23
M,49,3162.58,Low,State servant,Core staff,Semi-Urban,162996.27,587.4,N,Y,3,774.4,0,Unpossessed,605,3162.58,2,Semi-Urban,1,307480.01,114097.39
M,61,,Low,Working,Medicine staff,Semi-Urban,19822.02,92.11,Y,Y,3,664.26,0,Active,619,,4,Urban,1,33583.83,12884.31
F,65,,High,Pensioner,,Semi-Urban,133707.26,421.01,N,Y,2,845.92,0,Inactive,849,,2,Semi-Urban,1,215725.36,106965.81
F,23,1437.36,Low,State servant,Core staff,Semi-Urban,184902.16,633.48,N,N,2,750.67,0,Inactive,640,1437.36,1,Rural,1,221183.71,129431.51
F,18,1514.6,Low,Working,Laborers,Semi-Urban,39308.01,303.74,N,Y,1,607.67,1,Active,955,1514.6,4,Semi-Urban,0,57406.62,0
M,62,2917.85,Low,Commercial associate,Accountants,Semi-Urban,281610.94,,Y,N,2,757.06,0,Inactive,719,2917.85,4,Rural,1,365956.71,225288.75
F,48,981.51,Low,State servant,Core staff,Semi-Urban,119879.65,408,N,N,2,834.85,0,Unpossessed,212,981.51,2,Urban,1,188662.57,83915.75
M,24,2285.56,Low,Commercial associate,Laborers,Urban,37289.9,408.08,Y,N,1,648.75,0,Inactive,437,2285.56,1,Rural,1,54402.79,0
M,42,2609.45,Low,Commercial associate,,Semi-Urban,77602.7,338.28,Y,N,6,,0,Active,62,2609.45,2,Urban,1,136449.03,50441.76
M,32,1553.32,Low,Working,Core staff,Semi-Urban,54166.78,261.07,N,Y,3,782.12,0,Inactive,766,1553.32,3,Semi-Urban,1,77201.57,37916.75
F,41,2006.51,,Commercial associate,Laborers,Rural,42251.51,349.52,N,Y,2,607.1,0,Active,789,2006.51,4,Rural,0,46660.51,0
M,52,,Low,Working,Laborers,Semi-Urban,98360.93,436.49,Y,N,3,618.7,0,Unpossessed,861,,4,Rural,1,170021.66,0
F,56,1950.68,Low,Commercial associate,Managers,Rural,84922.89,525.39,Y,N,2,650.93,0,Active,213,1950.68,4,Urban,1,120612.27,55199.88
F,47,3054.3,Low,Commercial associate,Drivers,Semi-Urban,37965.05,297.49,N,Y,,604.42,0,Inactive,799,3054.3,1,Urban,0,55299.42,0
M,18,3485.52,Low,Working,Sales staff,Semi-Urban,110287.39,540.94,N,Y,3,682.73,0,Inactive,261,3485.52,3,Rural,1,178833.28,77201.17
F,64,2088.72,Low,Working,Core staff,Semi-Urban,174997.65,539.1,N,Y,2,776.66,0,Active,269,2088.72,2,Urban,1,240034.28,0
F,65,1602.49,High,Pensioner,,Semi-Urban,51901.21,254.57,N,N,1,737.99,0,Unpossessed,360,1602.49,3,Rural,1,84786.19,33735.79
M,23,1343.77,Low,Working,,Semi-Urban,35032.17,373.35,N,Y,2,799.47,0,Unpossessed,378,1343.77,2,Rural,1,62807.16,24522.52
M,48,1614.75,Low,Working,,Semi-Urban,63026.32,275.01,Y,Y,3,822.63,0,Unpossessed,870,1614.75,4,Semi-Urban,1,71738.81,47269.74
M,59,2690.68,Low,State servant,Laborers,Semi-Urban,19886.14,217.01,Y,N,4,751.86,0,Active,448,2690.68,4,Urban,1,36173.23,15908.91
F,51,3417.15,Low,Commercial associate,Core staff,Semi-Urban,188264.63,743.64,Y,Y,4,737.77,1,Active,610,3417.15,1,Rural,1,311142.5,131785.24
F,54,2551.35,Low,Working,Laborers,Semi-Urban,220195.87,836.63,N,Y,1,664.07,1,Inactive,565,2551.35,3,Urban,1,406461.23,0
M,44,1413.97,Low,State servant,Laborers,Rural,152039.51,-999,N,N,2,684.53,0,Unpossessed,15,,3,Semi-Urban,1,230203.35,106427.66
F,20,3468.44,Low,Working,,Rural,111111.2,530.42,N,N,2,623.48,0,Inactive,770,3468.44,4,Urban,1,149956.07,0
M,36,,,Working,Core staff,Rural,230951.28,577.46,N,N,2,756.81,0,Unpossessed,242,,4,Semi-Urban,1,320486.38,184761.02
F,41,,Low,Commercial associate,Sales staff,Rural,44402.92,213.67,N,Y,3,755.1,0,Active,272,,2,Urban,1,75797.39,33302.19
M,64,2006.3,Low,Commercial associate,Sales staff,Semi-Urban,41960.17,277.68,N,Y,4,691.18,0,Unpossessed,498,2006.3,2,Semi-Urban,1,50075.92,27274.11
M,53,538.33,Low,Commercial associate,Sales staff,Semi-Urban,23927.86,121.49,N,Y,2,742.76,1,Inactive,982,538.33,1,Semi-Urban,0,42522.09,0
F,53,1516.04,Low,State servant,Medicine staff,Semi-Urban,66108.78,229.73,Y,N,2,774.99,1,Active,227,1516.04,1,Semi-Urban,0,118125.95,0
F,39,1233,Low,Working,Cooking staff,Semi-Urban,69351.57,339.6,N,Y,2,733.33,0,Inactive,301,1233,1,Semi-Urban,1,106915.84,45078.52
F,61,4021.25,High,Pensioner,,Urban,79174.58,515.01,Y,N,2,785.57,0,Inactive,277,4021.25,1,Urban,0,94666.03,63339.66
M,62,1094.17,Low,Working,Security staff,Semi-Urban,89549.33,286.11,N,Y,2,732.27,0,Unpossessed,483,1094.17,1,Rural,1,167691.16,62684.53
F,30,,Low,Commercial associate,Drivers,Urban,160960.66,504.69,N,Y,3,663.98,0,Unpossessed,342,,1,Urban,1,247814.01,104624.43
M,29,1654.77,Low,Commercial associate,,Semi-Urban,37498.89,271.52,N,N,1,616.05,0,Active,258,1654.77,1,Semi-Urban,0,70500.75,0
M,60,1369.48,High,Pensioner,,Semi-Urban,147968.13,729.85,Y,N,4,,0,Active,44,1369.48,1,Urban,1,191138.93,103577.69
M,28,2459.09,Low,Working,Sales staff,Semi-Urban,66093.19,503.36,N,Y,,765.29,0,Inactive,944,2459.09,3,Rural,1,97466.26,52874.55
F,53,1386.32,Low,Working,Laborers,Semi-Urban,32750.17,395.36,Y,N,1,599.96,0,Unpossessed,459,1386.32,1,Semi-Urban,0,37515.9,0
